word,value
शांति,410
होइ,410
राणा,410
भेजना,410
राजस्थान,409
उपखण्ड,409
धाम,409
खुब,409
अवश्य,408
हरि,408
जोशी,407
सहेली,407
गूड,407
ईतनी,407
संख्या,406
शाखा,406
सूर्य,406
मेहनत,406
नाना,405
होय,405
चर्चा,405
देंगे,404
जोर,404
खर्च,404
शान्ति,404
मिट्टी,404
नवम्बर,403
आनंद,402
संकट,402
बच्चो,401
निवासी,401
काका,400
हैतो,400
ठ,400
कार्ड,400
रामचंद्र,399
साब,399
अपि,399
ट,398
तुने,398
माह,397
साथियों,397
विष्णु,397
राजेश,397
मानते,397
महिमा,396
तेज,395
काई,395
पूछ,394
रखें,394
लगाने,394
बहार,394
दान,393
शेयर,393
वाढदिवसाच्या,393
मिनट,393
बिजली,392
राहुल,392
बनता,392
साबित,391
जिसमें,391
आदत,391
गो,391
अक्टुम्बर,389
संतोष,389
रिश्ते,389
राख,389
पेपर,389
रहै,389
सूबह,388
ण,387
उतना,387
वाराणसी,386
होनी,385
होत,385
जिसकी,385
कान,385
भेजे,384
काह,384
अभियान,384
स्याह,384
दिनों,383
बचन,383
चाहा,382
जारी,382
सोना,381
हिम्मत,381
बोलते,381
ज़िन्दगी,381
ञ,381
तिवारी,381
परिणाम,380
माहीं,380
अमित,380
चलेगा,380
साला,379
मैडम,379
आइ,379
धोलका,379
छत,379
शु,378
थ,378
जनम,377
वात,377
ईद,377
जेल,375
भरा,375
व्रत,374
देवता,374
देखी,373
दोपहर,373
घटना,372
बड़ी,372
कधी,372
दुसरे,372
बाबु,371
गुस्सा,371
दीपक,371
रु,370
छैन,370
करोगे,369
लगते,369
मोहन,369
राजीव,369
मिलना,368
टूट,368
पाँच,368
भला,368
बनाना,368
सनमदिवाने,368
वफा,367
त्याग,367
अक्सर,367
हैलो,367
महोदय,366
मालिक,366
बढ़िया,366
नज़र,365
खाता,365
मृत्यु,365
प्रत्येक,365
गले,365
विदेशी,365
चेक,364
कछवा,364
बारिश,363
ईतना,363
प्रताप,363
दन्दु,363
तस्वीर,362
खोलने,362
पक्ष,362
वादा,362
दीव,362
सूरज,361
मानव,361
रखता,360
मरने,360
पहेली,360
संस्कृति,360
हिन्दुओं,360
आंखो,359
असे,359
आरक्षण,358
माझा,358
राजनीति,358
आजा,358
हाथों,358
पहुँच,357
रमेश,357
सकल,357
सवार,357
बीजेपी,357
अचछा,356
होला,356
काहा,356
नारी,355
प्रयोग,355
समर्पित,355
अकेला,355
चलने,355
जल्द,355
पवित्र,355
उधर,355
फक्त,354
बरसात,353
मराठी,353
मौका,353
सजन,353
शुभकामनाऐं,352
देखता,352
इन्हें,352
मोदीजी,352
हरी,351
गुप्ता,351
चेहरा,351
सबके,351
शान,351
गुलाम,351
अँधेरी,351
दिसम्बर,350
देगा,350
मलाई,350
वि,350
हैजिसके,350
धरा,350
आपल्या,349
हित,349
गुरुवे,349
कुठे,349
दया,349
हरिद्वार,349
ऋषि,349
कोटि,348
उसमें,348
किलो,347
पथ्थर,347
रेखा,347
नमःगंग,347
उत्तम,346
लडका,346
ममता,346
दिपावली,346
सपने,346
टी,346
समझे,345
दूसरों,345
नारायण,345
लंड,345
अर्जुन,344
युं,344
किं,344
घाट,343
दीया,343
स्वर्ग,343
लगाया,343
नमसकार,343
मृतक,343
गिर,342
गाव,342
भुल,342
कल्याण,342
अछा,342
किसने,342
क्यु,341
एस,341
बोलु,340
दाल,340
माला,340
हलो,340
औ,340
किन,340
भने,340
कोने,340
काश,339
वार,339
बिल्कुल,338
ऊँ,338
दिख,338
ओम्,338
रास्ता,338
खुप,338
तर्हि,338
जिनके,337
मारो,337
नूर,337
रहि,336
तनय,336
किसे,336
धोखा,336
आपण,335
उन्होने,335
प्रचार,334
मुँह,334
क्लींग,333
किसानो,333
जाति,333
एकदम,332
बेच,332
फुल,332
मो,332
केम,332
मुलाकात,332
धारा,332
उपाय,332
कन्या,332
आयेगा,331
कवन,331
रू,331
लौट,331
खिडकी,331
भई,331
सहमत,331
इन्सान,330
इंतजार,330
सामान,330
सुनी,330
हालत,329
पुराना,329
चरण,329
सबका,328
राजु,328
चुदाई,328
पुर्ण,327
भरत,327
मार्च,327
आँख,327
लेती,327
सबै,325
तकलीफ,325
मारी,324
इनका,324
ची,324
अकेली,324
आशीर्वाद,323
बिलकुल,323
लागि,323
बनना,323
सदैव,323
नए,323
पुछा,323
कहिए,322
लाईन,322
दिवानी,322
काला,322
पडेगा,322
फर्क,322
अन्दर,322
बेकार,322
चाहत,321
झाले,321
हैहम,321
गुलाब,321
पुरानी,321
प्रशासन,321
आँखो,321
सूचना,321
परेशानी,321
महा,320
कीमत,320
वीर,320
आर,319
प्यास,319
जबकि,319
करि,319
मिस,319
्,319
दूकान,318
साले,318
सोनी,318
मंजिल,318
परिवर्तन,318
झाल,317
अगले,317
खाई,317
बड़ा,317
टीम,317
बनाये,316
निकले,315
धीरे,315
शराब,315
गुर्जर,315
चोट,315
गला,315
तंत्र,315
लाईक,314
छोड़,314
पांच,314
ठाकुर,314
एकता,314
हैमैं,313
रखो,313
हालात,313
उतर,313
थोडी,313
पुराने,313
श्रीकृष्ण,313
शब्दों,313
मंडल,313
अथवा,312
हैपर,312
तैयारी,312
इनकी,311
उच्च,311
लम्बी,311
माध्यम,310
दिनेश,310
तोड़,310
तुम्ही,310
मकान,310
झाला,309
गी,309
नको,309
आँखे,309
किए,309
शंकर,309
भाईयों,309
उचित,309
राष्ट्रीय,308
दुर,308
दोन,308
घरी,308
जवानी,308
साई,308
क्षमता,307
देशी,307
कुल,307
हद,307
अर्श,307
अहम,306
सन,306
सरपंच,306
संत,305
तरी,305
मेला,305
किरन,305
मोहि,305
श्रीमान,305
राय,305
कमाल,304
लगेगा,304
निकला,304
असेल,304
मजे,304
भोजपुरी,304
हूई,303
केजरीवाल,303
सरदार,303
आदेश,303
हिन्दूत्व,303
हजुर,303
शनिवार,303
कीसी,302
आयी,302
दिपक,302
दिवाना,302
देगी,302
जिसको,302
छीन,302
तबीयत,302
महाकाल,302
दिनो,301
खतम,301
नर,301
जाओगे,301
हैकि,301
कराने,301
अंग्रेजी,301
किताब,301
विवाह,300
तूने,300
अनुभव,300
बोलता,300
समाना,300
नांदेड,300
छुट्टी,299
होतो,299
नानी,299
हैँ,299
हासिल,298
छो,298
करोड़,298
बिजी,298
कता,298
डे,298
आजादी,298
सुचना,297
हैये,297
जंगल,297
मदन,297
भाईयो,297
रावण,296
नोट,296
अस्ति,296
कुत्ते,295
हैआप,295
नबर,295
अभिनंदन,295
गैस,295
कमजोर,295
सीख,294
सबकी,294
फिल्म,294
शासन,293
थाऔर,293
दोष,293
वचन,293
आहेस,293
बराबर,293
दाई,293
उपयोग,292
बिन,292
मधुर,292
बातों,292
डॉक्टर,292
तेल,292
इंडिया,292
लेंगे,291
बनाई,291
फूलों,291
मस्जिद,291
सेवक,291
राहो,291
जवान,291
सामाजिक,291
दादी,291
अापको,291
मुस्कान,291
समूह,290
सूरत,290
बैठी,290
भीतर,290
डाला,290
होई,290
माझ्या,290
मुकेश,289
मुश्किल,289
च्या,289
आनन्द,289
बेवफा,289
छा,289
सुभाष,289
पाहीं,289
करोगी,288
मु,288
नथी,288
वाजता,288
लय,287
युद्ध,287
क्यू,287
योग्य,287
लिखे,287
ख्याल,287
भले,287
ठहरने,287
आय,286
गांड,286
अपनों,286
गय,286
इसलिये,286
आज़ाद,286
रोते,285
प्यारा,285
अंकित,285
ताकत,285
हार्दीक,285
निर्णय,285
ट्रेन,284
करेगी,284
थोड़ा,284
चलती,284
मिलेगी,284
दा,283
यादें,283
भवति,283
सोचने,283
पुनि,282
तूमहे,282
उपाध्याय,282
जयपुर,282
आचार्य,282
गर्मी,282
कराया,282
दिवाली,282
धेरै,281
माताजी,281
समझते,281
फसल,280
ष,280
जहा,280
पका,280
महावीर,280
निज,280
यीशु,280
कहि,280
निधाना,279
जायेंगे,279
परमात्मा,279
अप,279
अचानक,279
कोल,279
सच्चे,278
गाँधी,278
माझे,278
दर,278
जमाना,277
हुअा,277
अनेक,277
लखनऊ,277
रवि,277
बातेएक,276
हजारों,276
होटल,276
करतो,276
पड,276
गौरव,276
राजू,275
आपन,275
बोलने,275
वहीं,275
गुम,274
पाते,274
डी,274
मील,274
युग,274
मानो,274
भक्तों,273
पड़ा,273
सिहं,273
अखिल,273
स्तर,273
पंडित,273
महसूस,273
काहे,273
तिन,273
ीया,273
वर्ग,273
जियो,273
जगत,272
आधी,272
सह,272
असर,272
पीने,272
गली,272
मरते,271
होगया,271
दुदा,271
मूल,270
वन,270
रब,270
गरम,270
वास्तव,270
लगने,270
करों,270
पढ,269
लिखी,269
महीला,269
आयोजित,269
अाहे,269
आएगा,269
प्रारम्भ,269
यु,268
जितने,268
घायल,267
साम,267
पाकर,267
खूप,267
हिन्दुस्तान,267
महाराष्ट्र,267
बिहार,267
भूख,267
सुनि,267
सीमा,266
दौलत,266
हैइस,266
मने,266
बच,266
जात,266
प्रसन्न,266
अंग,266
शूभ,266
मुसलमान,265
अापके,265
कट,265
रिश्ता,265
तमाम,265
रोग,265
स्वार्थ,265
कुरु,265
कृप्या,264
क्पा,264
घोड़ा,264
जिम्मेदारी,264
ग्रामिणो,264
सोनभद्र,263
जेवन,263
आव,263
ग़ज़ल,263
सहारा,263
स्वस्थ,263
चक्कर,263
हस,262
मसत,262
नियम,262
यहीं,262
सोचो,262
जमाने,262
शिकायत,262
खड़ा,262
अर्थात,262
गुलाबी,262
सुपर,261
अाता,261
